# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalHeapBytesAllocated,1735140582819000000,1735140642586000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1735140582819000000,1735140642586000000,124977152
FilePageCacheLockFree.housekeeperTurnsDone,1735140582819000000,1735140642586000000,0
FilePageCache.uncachedFileAccess,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1735140582819000000,1735140642586000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1735140582819000000,1735140642586000000,0
FilePageCache.totalPageLoadsUs,1735140582819000000,1735140642586000000,0
FilePageCache.maxCacheSizeInBytes,1735140582819000000,1735140642586000000,124977152
AWTEventQueue.dispatchTimeTotalNS,1735140582819000000,1735140642586000000,670538296
NonBlockingReadAction.failedExecutionTimeUs,1735140582819000000,1735140642586000000,0
FlushQueue.queueSize90P,1735140582819000000,1735140642586000000,0
FlushQueue.executionTimeMaxNs,1735140582819000000,1735140642586000000,0
AWTEventQueue.dispatchTimeAvgNs,1735140582819000000,1735140642586000000,300800.0
FlushQueue.queueSizeMax,1735140582819000000,1735140642586000000,0
FlushQueue.queueSizeAvg,1735140582819000000,1735140642586000000,0.0
WriteAction.executionsCount,1735140582819000000,1735140642586000000,0
FlushQueue.tasksExecuted,1735140582819000000,1735140642586000000,0
AWTEventQueue.eventsDispatched,1735140582819000000,1735140642586000000,2
FlushQueue.waitingTime90PNs,1735140582819000000,1735140642586000000,0
FlushQueue.executionTimeAvgNs,1735140582819000000,1735140642586000000,0.0
FlushQueue.executionTime90PNs,1735140582819000000,1735140642586000000,0
AWTEventQueue.dispatchTimeMaxNs,1735140582819000000,1735140642586000000,409599
AWTEventQueue.dispatchTime90PNs,1735140582819000000,1735140642586000000,409599
FlushQueue.waitingTimeMaxNs,1735140582819000000,1735140642586000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1735140582819000000,1735140642586000000,1014
NonBlockingReadAction.failedExecutionsCount,1735140582819000000,1735140642586000000,0
FlushQueue.waitingTimeAvgNs,1735140582819000000,1735140642586000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1735140582819000000,1735140642586000000,1
ReadAction.executionsCount,1735140582819000000,1735140642586000000,2
JVM.threadCount,1735140582819000000,1735140642586000000,40
JVM.totalTimeAtSafepointsMs,1735140582819000000,1735140642586000000,35
JVM.GC.collections,1735140582819000000,1735140642586000000,1
JVM.GC.collectionTimesMs,1735140582819000000,1735140642586000000,34
JVM.maxHeapBytes,1735140582819000000,1735140642586000000,2147483648
JVM.totalTimeToSafepointsMs,1735140582819000000,1735140642586000000,1
JVM.totalCpuTimeMs,1735140582819000000,1735140642586000000,6000
JVM.newThreadsCount,1735140582819000000,1735140642586000000,0
JVM.totalDirectByteBuffersBytes,1735140582819000000,1735140642586000000,135379310
JVM.usedNativeBytes,1735140582819000000,1735140642586000000,324993256
JVM.maxThreadCount,1735140582819000000,1735140642586000000,131
JVM.totalSafepointCount,1735140582819000000,1735140642586000000,26
OS.loadAverage,1735140582819000000,1735140642586000000,1.99169921875
JVM.totalBytesAllocated,1735140582819000000,1735140642586000000,26629904
JVM.usedHeapBytes,1735140582819000000,1735140642586000000,349700096
cacheStateStorage.set.counter,1735140582819000000,1735140642586000000,0
cacheStateStorage.set.duration,1735140582819000000,1735140642586000000,0
cacheStateStorage.get.counter,1735140582819000000,1735140642586000000,0
cacheStateStorage.get.duration,1735140582819000000,1735140642586000000,0
writeAction.max.wait.ms,1735140582819000000,1735140642586000000,18
writeAction.median.wait.ms,1735140582819000000,1735140642586000000,0
writeAction.count,1735140582819000000,1735140642586000000,0
writeAction.wait.ms,1735140582819000000,1735140642586000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1735140582819000000,1735140642586000000,0
workspaceModel.initializing.ms,1735140582819000000,1735140642586000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1735140582819000000,1735140642586000000,0
workspaceModel.workspaceFileIndexData.instances.count,1735140582819000000,1735140642586000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1735140582819000000,1735140642586000000,0
